1,0.25,-0.15,-0.15,1,10000.0
10,0.25,-0.15,-0.1,240,10000.0
100,0.25,-0.1,0.03,240,10000.0
1000,0.5,0.03,0.03,240,10000.0
1001,0.5,0.03,0.03,320,10000.0
1002,0.5,0.03,0.03,400,10000.0
1003,0.5,0.03,0.05,1,10000.0
1004,0.5,0.03,0.05,80,10000.0
1005,0.5,0.03,0.05,160,10000.0
1006,0.5,0.03,0.05,240,10000.0
1007,0.5,0.03,0.05,320,10000.0
1008,0.5,0.03,0.05,400,10000.0
1009,0.5,0.03,0.1,1,10000.0
101,0.25,-0.1,0.03,320,10000.0
1010,0.5,0.03,0.1,80,10000.0
1011,0.5,0.03,0.1,160,10000.0
1012,0.5,0.03,0.1,240,10000.0
1013,0.5,0.03,0.1,320,10000.0
1014,0.5,0.03,0.1,400,10000.0
1015,0.5,0.03,0.15,1,10000.0
1016,0.5,0.03,0.15,80,10000.0
1017,0.5,0.03,0.15,160,10000.0
1018,0.5,0.03,0.15,240,10000.0
1019,0.5,0.03,0.15,320,10000.0
102,0.25,-0.1,0.03,400,10000.0
1020,0.5,0.03,0.15,400,10000.0
1021,0.5,0.05,-0.15,1,10000.0
1022,0.5,0.05,-0.15,80,10000.0
1023,0.5,0.05,-0.15,160,10000.0
1024,0.5,0.05,-0.15,240,10000.0
1025,0.5,0.05,-0.15,320,10000.0
1026,0.5,0.05,-0.15,400,10000.0
1027,0.5,0.05,-0.1,1,10000.0
1028,0.5,0.05,-0.1,80,10000.0
1029,0.5,0.05,-0.1,160,10000.0
103,0.25,-0.1,0.05,1,10000.0
1030,0.5,0.05,-0.1,240,10000.0
1031,0.5,0.05,-0.1,320,10000.0
1032,0.5,0.05,-0.1,400,10000.0
1033,0.5,0.05,-0.05,1,10000.0
1034,0.5,0.05,-0.05,80,10000.0
1035,0.5,0.05,-0.05,160,10000.0
1036,0.5,0.05,-0.05,240,10000.0
1037,0.5,0.05,-0.05,320,10000.0
1038,0.5,0.05,-0.05,400,10000.0
1039,0.5,0.05,-0.03,1,10000.0
104,0.25,-0.1,0.05,80,10000.0
1040,0.5,0.05,-0.03,80,10000.0
1041,0.5,0.05,-0.03,160,10000.0
1042,0.5,0.05,-0.03,240,10000.0
1043,0.5,0.05,-0.03,320,10000.0
1044,0.5,0.05,-0.03,400,10000.0
1045,0.5,0.05,-0.01,1,10000.0
1046,0.5,0.05,-0.01,80,10000.0
1047,0.5,0.05,-0.01,160,10000.0
1048,0.5,0.05,-0.01,240,10000.0
1049,0.5,0.05,-0.01,320,10000.0
105,0.25,-0.1,0.05,160,10000.0
1050,0.5,0.05,-0.01,400,10000.0
1051,0.5,0.05,0.01,1,10000.0
1052,0.5,0.05,0.01,80,10000.0
1053,0.5,0.05,0.01,160,10000.0
1054,0.5,0.05,0.01,240,10000.0
1055,0.5,0.05,0.01,320,10000.0
1056,0.5,0.05,0.01,400,10000.0
1057,0.5,0.05,0.03,1,10000.0
1058,0.5,0.05,0.03,80,10000.0
1059,0.5,0.05,0.03,160,10000.0
106,0.25,-0.1,0.05,240,10000.0
1060,0.5,0.05,0.03,240,10000.0
1061,0.5,0.05,0.03,320,10000.0
1062,0.5,0.05,0.03,400,10000.0
1063,0.5,0.05,0.05,1,10000.0
1064,0.5,0.05,0.05,80,10000.0
1065,0.5,0.05,0.05,160,10000.0
1066,0.5,0.05,0.05,240,10000.0
1067,0.5,0.05,0.05,320,10000.0
1068,0.5,0.05,0.05,400,10000.0
1069,0.5,0.05,0.1,1,10000.0
107,0.25,-0.1,0.05,320,10000.0
1070,0.5,0.05,0.1,80,10000.0
1071,0.5,0.05,0.1,160,10000.0
1072,0.5,0.05,0.1,240,10000.0
1073,0.5,0.05,0.1,320,10000.0
1074,0.5,0.05,0.1,400,10000.0
1075,0.5,0.05,0.15,1,10000.0
1076,0.5,0.05,0.15,80,10000.0
1077,0.5,0.05,0.15,160,10000.0
1078,0.5,0.05,0.15,240,10000.0
1079,0.5,0.05,0.15,320,10000.0
108,0.25,-0.1,0.05,400,10000.0
1080,0.5,0.05,0.15,400,10000.0
1081,0.5,0.1,-0.15,1,10000.0
1082,0.5,0.1,-0.15,80,10000.0
1083,0.5,0.1,-0.15,160,10000.0
1084,0.5,0.1,-0.15,240,10000.0
1085,0.5,0.1,-0.15,320,10000.0
1086,0.5,0.1,-0.15,400,10000.0
1087,0.5,0.1,-0.1,1,10000.0
1088,0.5,0.1,-0.1,80,10000.0
1089,0.5,0.1,-0.1,160,10000.0
109,0.25,-0.1,0.1,1,10000.0
1090,0.5,0.1,-0.1,240,10000.0
1091,0.5,0.1,-0.1,320,10000.0
1092,0.5,0.1,-0.1,400,10000.0
1093,0.5,0.1,-0.05,1,10000.0
1094,0.5,0.1,-0.05,80,10000.0
1095,0.5,0.1,-0.05,160,10000.0
1096,0.5,0.1,-0.05,240,10000.0
1097,0.5,0.1,-0.05,320,10000.0
1098,0.5,0.1,-0.05,400,10000.0
1099,0.5,0.1,-0.03,1,10000.0
11,0.25,-0.15,-0.1,320,10000.0
110,0.25,-0.1,0.1,80,10000.0
1100,0.5,0.1,-0.03,80,10000.0
1101,0.5,0.1,-0.03,160,10000.0
1102,0.5,0.1,-0.03,240,10000.0
1103,0.5,0.1,-0.03,320,10000.0
1104,0.5,0.1,-0.03,400,10000.0
1105,0.5,0.1,-0.01,1,10000.0
1106,0.5,0.1,-0.01,80,10000.0
1107,0.5,0.1,-0.01,160,10000.0
1108,0.5,0.1,-0.01,240,10000.0
1109,0.5,0.1,-0.01,320,10000.0
111,0.25,-0.1,0.1,160,10000.0
1110,0.5,0.1,-0.01,400,10000.0
1111,0.5,0.1,0.01,1,10000.0
1112,0.5,0.1,0.01,80,10000.0
1113,0.5,0.1,0.01,160,10000.0
1114,0.5,0.1,0.01,240,10000.0
1115,0.5,0.1,0.01,320,10000.0
1116,0.5,0.1,0.01,400,10000.0
1117,0.5,0.1,0.03,1,10000.0
1118,0.5,0.1,0.03,80,10000.0
1119,0.5,0.1,0.03,160,10000.0
112,0.25,-0.1,0.1,240,10000.0
1120,0.5,0.1,0.03,240,10000.0
1121,0.5,0.1,0.03,320,10000.0
1122,0.5,0.1,0.03,400,10000.0
1123,0.5,0.1,0.05,1,10000.0
1124,0.5,0.1,0.05,80,10000.0
1125,0.5,0.1,0.05,160,10000.0
1126,0.5,0.1,0.05,240,10000.0
